Tieu_de,gia,Tinh_trang,Km_da_di,Hop_so,Nhien_lieu,Nguoi_ban,Dong_xe,Nam_san_xuat,Dan_dong,Mau_xe,Xuat_xu,Link_image
Xe Cũ KIA Morning SI 2016,240 triệu,Cũ,"66,280 km",Số sàn,Xăng,Cá nhân,Hatchback,2016,FWD: Cầu trước,Vàng,Trong nước,"['https://choxe.net/uploads/auto/202203/341721/gallery/936x624-6243e57f99c65.jpg', 'https://choxe.net/uploads/auto/202203/341721/gallery/936x624-6243e57f95d1b.jpg', 'https://choxe.net/uploads/auto/202203/341721/gallery/936x624-6243e57f8ae91.jpg', 'https://choxe.net/uploads/auto/202203/341721/gallery/936x624-6243e57f91515.jpg', 'https://choxe.net/uploads/auto/202203/341721/gallery/936x624-6243e57f8e7a9.jpg', 'https://choxe.net/uploads/auto/202203/341721/gallery/936x624-6243e57f878e7.jpg']"
Xe Cũ KIA Sedona Máy Dầu Cao Cấp 2018,915 triệu,Cũ,"60,000 km",Số tự động,Dầu,Cá nhân,Van/Minivan,2018,4WD: 4 bánh,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202203/341709/gallery/936x624-6242c94c1e754.jpg', 'https://choxe.net/uploads/auto/202203/341709/gallery/936x624-6242c94c32b82.jpg', 'https://choxe.net/uploads/auto/202203/341709/gallery/936x624-6242c94c544c7.jpg', 'https://choxe.net/uploads/auto/202203/341709/gallery/936x624-6242c94c486bf.jpg']"
Xe Cũ Daihatsu Citivan 2002 2002,37 triệu,Cũ,"30,000 km",Số sàn,Xăng,Cá nhân,Coupe,2002,4WD: 4 bánh,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341697/gallery/936x624-62407a1334b79.jpg', 'https://choxe.net/uploads/auto/202203/341697/gallery/936x624-62407a1328718.jpg', 'https://choxe.net/uploads/auto/202203/341697/gallery/936x624-62407a132cbd8.jpg', 'https://choxe.net/uploads/auto/202203/341697/gallery/936x624-62407a13308fb.jpg', 'https://choxe.net/uploads/auto/202203/341697/gallery/936x624-62407a1339018.jpg']"
Xe Cũ Hino Chuyên Dụng Daihatsu 2002,35 triệu,Cũ,2 km,Số sàn,Xăng,Cá nhân,Xe tải,2002,4WD: 4 bánh,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202203/341694/gallery/936x624-108919C9-D924-4CFA-A1CC-31120C47ABFC.jpeg', 'https://choxe.net/uploads/auto/202203/341694/gallery/936x624-828269AD-1CA5-444A-9067-4E408E2F530A.jpeg', 'https://choxe.net/uploads/auto/202203/341694/gallery/936x624-2D91917E-5BB7-405B-B7A5-62F4D38E164B.jpeg', 'https://choxe.net/uploads/auto/202203/341694/gallery/936x624-7E1D5EC7-3522-44E3-9DAF-E60F104B6006.jpeg']"
Xe Cũ Ford EcoSport 2020 2020,605 triệu,Cũ,"12,000 km",Số tự động,Xăng,Cá nhân,SUV,2020,FWD: Cầu trước,Đỏ,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341693/gallery/936x624-623f284429ba2.jpg', 'https://choxe.net/uploads/auto/202203/341693/gallery/936x624-623f28442d558.jpg', 'https://choxe.net/uploads/auto/202203/341693/gallery/936x624-623f28442c635.jpg', 'https://choxe.net/uploads/auto/202203/341693/gallery/936x624-623f28442b5e2.jpg', 'https://choxe.net/uploads/auto/202203/341693/gallery/936x624-623f28442e50b.jpg']"
Xe Mới Hino 300 Series Xzu352L 2021,710 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2021,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202203/341687/gallery/936x624-623d68a72ca0c.jpg', 'https://choxe.net/uploads/auto/202203/341687/gallery/936x624-623d68a732fbb.jpg', 'https://choxe.net/uploads/auto/202203/341687/gallery/936x624-623d68a738742.jpg', 'https://choxe.net/uploads/auto/202203/341687/gallery/936x624-623d68a73d875.jpg']"
Xe Mới JAC Xe Tải N200S 2022,120 triệu,Mới,50 km,Số sàn,Dầu,Cá nhân,Xe tải,2022,RWD: Cầu sau,Xanh,Trong nước,"['https://choxe.net/uploads/auto/202203/341684/gallery/936x624-623d3187bc45d.jpg', 'https://choxe.net/uploads/auto/202203/341684/gallery/936x624-623d3187b50e3.jpg', 'https://choxe.net/uploads/auto/202203/341684/gallery/936x624-623d3187c02ae.jpg', 'https://choxe.net/uploads/auto/202203/341684/gallery/936x624-623d3187c64e2.jpg', 'https://choxe.net/uploads/auto/202203/341684/gallery/936x624-623d3187c37b3.jpg', 'https://choxe.net/uploads/auto/202203/341684/gallery/936x624-623d3187b8ca9.jpg']"
Xe Cũ BMW X6 XDrive 35i 2015,2.09 tỷ ,Cũ,"40,000 km",Số tự động,Xăng,Cá nhân,SUV,2015,4WD: 4 bánh,Đen,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341682/gallery/936x624-623cb58c38dcb.jpg', 'https://choxe.net/uploads/auto/202203/341682/gallery/936x624-623cb58c46a3c.jpg', 'https://choxe.net/uploads/auto/202203/341682/gallery/936x624-623cb58c211f5.jpg', 'https://choxe.net/uploads/auto/202203/341682/gallery/936x624-623cb58c2fb71.jpg', 'https://choxe.net/uploads/auto/202203/341682/gallery/936x624-623cb58c25dd2.jpg', 'https://choxe.net/uploads/auto/202203/341682/gallery/936x624-623cb58c340ea.jpg', 'https://choxe.net/uploads/auto/202203/341682/gallery/936x624-623cb58c5203b.jpg', 'https://choxe.net/uploads/auto/202203/341682/gallery/936x624-623cb58c4b981.jpg', 'https://choxe.net/uploads/auto/202203/341682/gallery/936x624-623cb58c550cf.jpg', 'https://choxe.net/uploads/auto/202203/341682/gallery/936x624-623cb58c57d0b.jpg', 'https://choxe.net/uploads/auto/202203/341682/gallery/936x624-623cb58c5b382.jpg']"
Xe Cũ Honda Civic 1.8L 2008,278 triệu,Cũ,"139,000 km",Số sàn,Xăng,Cá nhân,Sedan,2008,FWD: Cầu trước,Đen,Trong nước,"['https://choxe.net/uploads/auto/202203/341678/gallery/936x624-623c225bad75a.jpg', 'https://choxe.net/uploads/auto/202203/341678/gallery/936x624-623c225baadaa.jpg', 'https://choxe.net/uploads/auto/202203/341678/gallery/936x624-623c225ba8774.jpg', 'https://choxe.net/uploads/auto/202203/341678/gallery/936x624-623c225ba68b4.jpg', 'https://choxe.net/uploads/auto/202203/341678/gallery/936x624-623c225ba46c6.jpg']"
Xe Mới Nissan Sunny ALMERA CVT CAO CẤP Màu Bạc 1.0L Turbo Tăng áp 2021,529 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2021,FWD: Cầu trước,Bạc,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341674/gallery/936x624-623bc947d8658.jpg', 'https://choxe.net/uploads/auto/202203/341674/gallery/936x624-623bc947d5bfb.jpg', 'https://choxe.net/uploads/auto/202203/341674/gallery/936x624-623bc947cb00c.jpg', 'https://choxe.net/uploads/auto/202203/341674/gallery/936x624-623bc947df6e5.jpg', 'https://choxe.net/uploads/auto/202203/341674/gallery/936x624-623bc947cf5e1.jpg', 'https://choxe.net/uploads/auto/202203/341674/gallery/936x624-623bc947d2943.jpg', 'https://choxe.net/uploads/auto/202203/341674/gallery/936x624-623bc947e67e7.jpg', 'https://choxe.net/uploads/auto/202203/341674/gallery/936x624-623bc947db768.jpg']"
Xe Cũ BMW 5 520 2018,1.8 tỷ ,Cũ,"16,000 km",Số tự động,Xăng,Cá nhân,Sedan,2018,RWD: Cầu sau,Xanh,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341673/gallery/936x624-623b440719fb5.jpg', 'https://choxe.net/uploads/auto/202203/341673/gallery/936x624-623b44071c19a.jpg', 'https://choxe.net/uploads/auto/202203/341673/gallery/936x624-623b44071655c.jpg', 'https://choxe.net/uploads/auto/202203/341673/gallery/936x624-623b440717e97.jpg', 'https://choxe.net/uploads/auto/202203/341673/gallery/936x624-623b440714bb8.jpg', 'https://choxe.net/uploads/auto/202203/341673/gallery/936x624-623b440712ea9.jpg']"
